node_1,node_2,edge,chunk_id
low-quality stitching,counterfeit jordans,have_red_flags,358bdc7a02634bfdbc1cfb457570686d
inconsistent mesh panel sizes,counterfeit jordans,have_red_flags,358bdc7a02634bfdbc1cfb457570686d
rear logo,real jordans,have,358bdc7a02634bfdbc1cfb457570686d
bright,logo,is,358bdc7a02634bfdbc1cfb457570686d
embossed logo,rear logo,is,358bdc7a02634bfdbc1cfb457570686d
centered,logo,is,358bdc7a02634bfdbc1cfb457570686d
heel,logo,is_on,358bdc7a02634bfdbc1cfb457570686d
jordan 4s,nike swoosh,either_have,358bdc7a02634bfdbc1cfb457570686d
jordan 4s,jumpman logo,either_have,358bdc7a02634bfdbc1cfb457570686d
logo,jordan 4s,is_embossed_in_rubber_on,358bdc7a02634bfdbc1cfb457570686d
heel,logo,is_centered_on,358bdc7a02634bfdbc1cfb457570686d
logo,heel,fits_perfectly,358bdc7a02634bfdbc1cfb457570686d
counterfeit jordans,dull logo,have_red_flags,358bdc7a02634bfdbc1cfb457570686d
logo,counterfeit jordans,is_too_large_or_too_small,358bdc7a02634bfdbc1cfb457570686d
sloppy edges,logo,have_red_flags,358bdc7a02634bfdbc1cfb457570686d
flat heel shape,counterfeit jordans,have_red_flags,358bdc7a02634bfdbc1cfb457570686d
real shoes,signature curved bump,have,358bdc7a02634bfdbc1cfb457570686d
midsole,signature curved bump,is_above,358bdc7a02634bfdbc1cfb457570686d
jordan 4s,unevenly spaced raised bumps,may_have,358bdc7a02634bfdbc1cfb457570686d
rubber heel tab,jordan 4s,may_extend_higher,358bdc7a02634bfdbc1cfb457570686d
insoles,real jordans,have,358bdc7a02634bfdbc1cfb457570686d
vibrant logo,insoles,have,358bdc7a02634bfdbc1cfb457570686d
tight lettering,logo,has,358bdc7a02634bfdbc1cfb457570686d
nike swoosh logo,insoles,printed_by_the_heel,358bdc7a02634bfdbc1cfb457570686d
consistent coloring,nike swoosh logo,has,358bdc7a02634bfdbc1cfb457570686d
letters of nike,tightly packed together,are,358bdc7a02634bfdbc1cfb457570686d
e,bottom,touches_the_swoosh,358bdc7a02634bfdbc1cfb457570686d
size sticker,insoles,have_a,358bdc7a02634bfdbc1cfb457570686d
full black coloring,sticker,has,358bdc7a02634bfdbc1cfb457570686d
counterfeit jordans,faded logos,have_red_flags,358bdc7a02634bfdbc1cfb457570686d
sticker,counterfeit jordans,without_full_black,358bdc7a02634bfdbc1cfb457570686d
mismatching fonts,counterfeit jordans,have_red_flags,358bdc7a02634bfdbc1cfb457570686d
real jordans,deep treads,have,358bdc7a02634bfdbc1cfb457570686d
clean paint job,outsoles,have,358bdc7a02634bfdbc1cfb457570686d
jordan 4s,flip,over_and_inspect,358bdc7a02634bfdbc1cfb457570686d
soles,jordan 4s,flip_over_and_inspect,358bdc7a02634bfdbc1cfb457570686d
treads,authentics,are_evenly,358bdc7a02634bfdbc1cfb457570686d
air jordan 4,consistent depth,have,9afeeebab6d0408ba46393cfb8162ec1
air jordan 4,clean paint lines,real pairs have,9afeeebab6d0408ba46393cfb8162ec1
air jordan 4,nike swoosh or jumpman logo,real pairs have,9afeeebab6d0408ba46393cfb8162ec1
counterfeit air jordan 4,shallow treads,red flags,9afeeebab6d0408ba46393cfb8162ec1
counterfeit air jordan 4,visible paint drips around the logo,red flags,9afeeebab6d0408ba46393cfb8162ec1
air jordan 4,$150 usd or more,real Jordans have a price of,9afeeebab6d0408ba46393cfb8162ec1
counterfeit air jordan 4,price under $100 usd,red flags,9afeeebab6d0408ba46393cfb8162ec1
counterfeit air jordan 4,price that seems too good to be true,red flags,9afeeebab6d0408ba46393cfb8162ec1
air jordan 4,differences between real and fake not noticeable while wearing,additional tips,9afeeebab6d0408ba46393cfb8162ec1
purchasing shoes online,shop from verified sellers,additional tips,9afeeebab6d0408ba46393cfb8162ec1
purchasing shoes online,make sure there are clear pictures of the shoes before purchasing,additional tips,9afeeebab6d0408ba46393cfb8162ec1
air jordan 4,various designs,there are,9afeeebab6d0408ba46393cfb8162ec1
